DATE,GDP
1/1/1991,8151479004
1/1/1992,8209129172
1/1/1993,5751789915
1/1/1994,7148145376
1/1/1995,9046326060
1/1/1996,12045858436
1/1/1997,13115773738
1/1/1998,14093998844
1/1/1999,12896013577
1/1/2000,12705357103
1/1/2001,12986007426
1/1/2002,13147743911
1/1/2003,14904517650
1/1/2004,16095337094
1/1/2005,18737897745
1/1/2006,25825524821
1/1/2007,31958195182
1/1/2008,35895153328
1/1/2009,37021512049
1/1/2010,40000088347
1/1/2011,41953433591
1/1/2012,50412754861
1/1/2013,55096728048
1/1/2014,61448046802
1/1/2015,64007750169
1/1/2016,69188755364
1/1/2017,78965004656
1/1/2018,87778582964
1/1/2019,95503088538
